meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0.091014398,0.081444163,0.059480519,0.025844156,0.138051948,0.112207792,2.465983927,10.11019649,0.946483819,0.655210916,0.021168831,0.091014398,0.147016671,0.047337278,0.279069767,0.450324292,0,13.2890625,13.2890625,0.028137473,female
0.096532344,0.085253882,0.061372002,0.0218628,0.163970998,0.142108199,2.87602318,13.0988553,0.948145816,0.680981704,0.020457334,0.096532344,0.140584066,0.046920821,0.279069767,0.340164812,0,3.328125,3.328125,0.090473396,female
0.088132044,0.077623035,0.067551267,0.023811821,0.116863691,0.09305187,1.731164224,6.707833865,0.945972041,0.605728372,0.012496984,0.088132044,0.123243198,0.047105005,0.275862069,0.519451531,0,5.2265625,5.2265625,0.105890746,male
0.095105864,0.077225561,0.070529378,0.027364747,0.144805119,0.117440372,2.157811942,9.609305434,0.946915411,0.624641693,0.01840605,0.095105864,0.119670857,0.04743083,0.272727273,0.153515625,0,3.515625,3.515625,0.055672515,male
0.124463332,0.099552786,0.071037037,0.03162963,0.228148148,0.196518519,0.960847339,3.338806529,0.941749378,0.559664044,0.013481481,0.124463332,0.168959805,0.047105005,0.279069767,1.07421875,0,10.59375,10.59375,0.104786806,female
0.0942952,0.077153327,0.071260341,0.027659367,0.134072993,0.106413625,3.064376907,16.34374513,0.949189106,0.659208214,0.018257908,0.0942952,0.122841579,0.047105005,0.279069767,0.188575115,0,5.109375,5.109375,0.045235716,male
0.103071191,0.078950857,0.072418559,0.030957552,0.185745311,0.154787759,2.285506958,10.52280203,0.93154411,0.58168501,0.019072063,0.103071191,0.131289007,0.046966732,0.279069767,0.085560994,0,0.84375,0.84375,0.094512195,female
0.110126379,0.063771233,0.081958333,0.077729167,0.1225,0.044770833,6.651260211,56.55045106,0.843612652,0.416766411,0.078020833,0.110126379,0.114559638,0.046966732,0.271186441,1.284254808,0,8.8359375,8.8359375,0.07637697,male
0.097037284,0.078392903,0.083445306,0.024358312,0.147838071,0.123479759,2.00836293,7.791599729,0.945628982,0.643618705,0.006270457,0.097037284,0.121308045,0.047384008,0.277456647,0.130418347,0,0.5390625,0.5390625,0.163768116,male
0.121117725,0.100524566,0.084040115,0.027077364,0.238080229,0.211002865,2.381354165,10.7966002,0.942608684,0.638213274,0.022664756,0.121117725,0.140845558,0.04729064,0.279069767,0.262257543,0,1.8515625,1.8515625,0.112147457,female
0.120568375,0.068468876,0.084068796,0.078152334,0.170339066,0.092186732,5.840869013,44.31755529,0.873594998,0.471013715,0.080766585,0.120568375,0.10635905,0.04743083,0.277456647,0.792633929,0.0703125,7.6171875,7.546875,0.051165365,male
0.114382429,0.084897157,0.086515301,0.043119447,0.172201382,0.129081935,1.077715507,3.797912459,0.957963361,0.695756876,0.032892399,0.114382429,0.120046477,0.04719764,0.275862069,0.308872768,0,5.4609375,5.4609375,0.071151559,male
0.120315496,0.05923032,0.086880658,0.080197531,0.160395062,0.080197531,6.437159394,53.26991223,0.863056806,0.456596421,0.080197531,0.120315496,0.099215882,0.046966732,0.274285714,0.230691964,0,3.09375,3.09375,0.040059688,male
0.109169945,0.073855337,0.086964706,0.039090196,0.167121569,0.128031373,8.559436394,96.65783652,0.905337237,0.580659295,0.038431373,0.109169945,0.096986754,0.046966732,0.277456647,0.099056604,0,0.5390625,0.5390625,0.079503106,male
0.103550093,0.086240727,0.087642276,0.023902439,0.178699187,0.154796748,2.320074251,8.776755902,0.935629896,0.640512336,0.02200542,0.103550093,0.134451491,0.047105005,0.271186441,1.325452303,0,8.8125,8.8125,0.187421777,male
0.115493573,0.068769197,0.089772934,0.062815622,0.146230699,0.083415077,2.255600558,8.840515138,0.935049662,0.610359484,0.056966394,0.115493573,0.110009241,0.04719764,0.277456647,0.153125,0,0.9140625,0.9140625,0.117595049,male
0.102474175,0.086629089,0.089823009,0.019410029,0.197610619,0.17820059,2.868030653,13.73804191,0.920270874,0.545889087,0.011563422,0.102474175,0.117436686,0.047012733,0.279069767,0.774255087,0,4.9921875,4.9921875,0.138062946,male
0.100994227,0.086266665,0.094743202,0.012406848,0.180181269,0.167774421,3.780171261,20.22115776,0.916444173,0.569993648,0.008459215,0.100994227,0.12708215,0.046966732,0.279069767,0.103190104,0,1.546875,1.546875,0.10312076,male
0.105527589,0.064182777,0.094816626,0.0599022,0.15403423,0.094132029,2.736830534,12.13793098,0.929897284,0.598480549,0.092420538,0.105527589,0.140487373,0.047012733,0.279069767,0.122748941,0,0.703125,0.703125,0.180864198,male
0.120968819,0.094109633,0.094870588,0.029866667,0.224,0.194133333,2.462019551,12.04601092,0.956919157,0.717142039,0.007466667,0.120968819,0.16642947,0.047856431,0.279069767,0.308363971,0,2.1796875,2.1796875,0.115975422,female
0.104713187,0.084732088,0.09551952,0.01648048,0.181621622,0.165141141,4.189465781,28.44986453,0.928102228,0.584021755,0.00554955,0.104713187,0.121749761,0.047012733,0.274285714,0.087842988,0,1.453125,1.453125,0.082201471,male
0.116880337,0.075685757,0.098080925,0.048231214,0.19033526,0.142104046,2.479249539,14.60694577,0.947780296,0.663770746,0.030427746,0.116880337,0.097529784,0.047012733,0.277456647,0.182477679,0.0234375,7.1015625,7.078125,0.038151454,male
0.117207607,0.074891587,0.099398642,0.050378274,0.180329777,0.129951503,1.539677262,6.173922584,0.966696421,0.740813964,0.095189137,0.117207607,0.121711545,0.046920821,0.279069767,0.393841912,0,6.3515625,6.3515625,0.069272056,male
0.111179496,0.087099156,0.099653875,0.029285177,0.165387509,0.136102333,1.927029708,6.949696411,0.948472435,0.662192353,0.017276147,0.111179496,0.130146091,0.047058824,0.279069767,0.20671875,0,0.6796875,0.6796875,0.217168012,male
0.112252708,0.072006331,0.099761068,0.048601546,0.168629656,0.12002811,1.333031309,5.09357697,0.964859236,0.742777979,0.103106114,0.112252708,0.125375443,0.047151277,0.277456647,0.546296296,0,8.8359375,8.8359375,0.057709311,male
0.114136696,0.062146096,0.099818731,0.075568983,0.164108761,0.088539778,2.572158346,11.97795558,0.944867627,0.652175626,0.100100705,0.114136696,0.129598959,0.04743083,0.279069767,1.091145833,0,5.578125,5.578125,0.16969645,male
0.113797568,0.069579655,0.100459342,0.055096214,0.16459342,0.109497207,1.125701428,4.030686646,0.965093261,0.729433141,0.09733085,0.113797568,0.127894003,0.046920821,0.279069767,0.150625,0,2.34375,2.34375,0.063809524,male
0.114684412,0.064572822,0.100943396,0.078867925,0.171698113,0.092830189,2.394852535,9.950032666,0.939075566,0.597913165,0.097358491,0.114684412,0.122729757,0.046920821,0.275862069,0.262453589,0,4.9921875,4.9921875,0.065035829,male
0.114284977,0.062068435,0.100946626,0.082618328,0.170030211,0.087411883,2.770356781,11.92853031,0.920743453,0.545164392,0.106022155,0.114284977,0.148316396,0.047105005,0.279069767,0.534375,0,5.2265625,5.2265625,0.100431509,male
0.111093629,0.06316156,0.101136512,0.069314174,0.164598302,0.095284128,2.769500749,13.41599959,0.937772326,0.595308147,0.099856303,0.111093629,0.117243653,0.047384008,0.279069767,0.426425971,0,5.859375,5.859375,0.0776,male
0.118237221,0.068813477,0.101168724,0.063144033,0.174222222,0.111078189,1.286062853,4.927761417,0.964577263,0.740555337,0.092872428,0.118237221,0.127064051,0.046966732,0.279069767,0.163611779,0,3.2578125,3.2578125,0.059632294,male
0.116716311,0.080662559,0.102037121,0.039167044,0.186835672,0.147668628,1.747934036,6.080875862,0.95361794,0.672152539,0.091770032,0.116716311,0.125516055,0.04729064,0.279069767,0.598721591,0,9.1640625,9.1640625,0.071734212,male
0.112821979,0.084823849,0.102181041,0.02893799,0.196977904,0.168039914,2.240554363,10.49100654,0.954949919,0.702813202,0.003791875,0.112821979,0.117068982,0.047244094,0.272727273,0.373791881,0,5.2265625,5.2265625,0.078836974,male
0.113585958,0.087271472,0.10249833,0.028617234,0.201816967,0.173199733,2.889416088,15.13533663,0.957838556,0.724807325,0.004114896,0.113585958,0.12935692,0.047105005,0.277456647,0.627774533,0,14.390625,14.390625,0.05653345,male
0.117242766,0.069809027,0.102750751,0.058186186,0.161441441,0.103255255,1.475844406,5.370264501,0.959386212,0.695410614,0.039687688,0.117242766,0.111042855,0.046966732,0.271186441,0.227241848,0,0.890625,0.890625,0.188820592,male
0.11299143,0.068017865,0.103729662,0.057121402,0.155419274,0.098297872,1.522718364,6.760780198,0.9629048,0.719039613,0.109336671,0.11299143,0.119896584,0.047058824,0.272727273,0.365084135,0,6.1640625,6.1640625,0.05578571,male
0.116416908,0.095286516,0.104160625,0.023580591,0.220658115,0.197077524,2.492176098,10.92959412,0.948999445,0.662850187,0.012336866,0.116416908,0.135322724,0.048048048,0.279069767,0.604440789,0,3.984375,3.984375,0.076612332,male
0.108958785,0.087250841,0.104246154,0.023433846,0.203495385,0.180061538,2.563265067,11.71046409,0.935585424,0.589235831,0.008615385,0.108958785,0.132244115,0.048,0.279069767,0.537405303,0,5.6953125,5.6953125,0.08436214,male
